,source_id,source_name,author,title,description,content
10,cnn,CNN,"Alaa Elassar and Kay Jones, CNN",Cluster of Covid-19 cases identified at University of North Carolina fraternity,Another coronavirus cluster has been identified at the University of North Carolina.,
11,wired,Wired,Megan Molteni,A Summer Camp Covid-19 Outbreak Offers Back-to-School Lessons,"A CDC report from a Georgia hotspot illuminates just how easily kids can spread coronavirus, adding to our understanding of kids' role in transmission.","Much more settled is that most kids who contract Covid-19 dont get that sick. Data from the CDC report about symptoms among High Harbour staffers and campers was only available for 136 patients, with… [+4466 chars]"
12,the-verge,The Verge,Adi Robertson,Whistleblower Reality Winner has tested positive for COVID-19 in prison,"Former NSA contractor Reality Winner, who is imprisoned in Texas for leaking documents about Russian election interference, has reportedly been diagnosed with COVID-19 amid the coronavirus pandemic.","She was denied release earlier in the pandemic
Photo by Sean Rayford / Getty Images
Former intelligence contractor and whistleblower Reality Winner has reportedly tested positive for COVID-19. Winn… [+2100 chars]"
13,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Ten African innovations to help tackle Covid-19,Coronavirus has inspired Africans to create a wide range of inventions to help fight the pandemic.,"Image copyrightEcole Supérieure Polytechnique DakarImage caption
 The Doctor Car robot
As Africa passes more than a million confirmed Covid-19 cases, innovators on the continent have responded to t… [+4583 chars]"
14,bbc-news,BBC News,https://www.facebook.com/bbcnews,In pictures: How coronavirus swept through Brazil,"As the country passes 2m cases, we tell the story of how the outbreak spread in pictures.","Image copyrightGetty Images
Brazil's coronavirus outbreak has been one of the world's most severe, with more than 2m cases recorded since March.
The official total reached 2,012,151 on Thursday, ac… [+4819 chars]"
15,bbc-news,BBC News,https://www.facebook.com/bbcnews,Latin American Foto Festival: Culture and coronavirus,Caribbean and Latin American photography features in the third Annual Latin American Foto Festival.,"Image copyrightTamara Merino/Covid LatamImage caption
 A photographer's self portrait with her mother is one of many works featured at the Bronx Documentary Center's third Annual Latin American Foto… [+7727 chars]"
16,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Question mark over 2021 Tokyo Olympics,The Olympics are now one year away - again - but some athletes fear that they won't happen at all.,"Image caption
 We are now - again - one year away from the start of the Olympics in Tokyo
For some athletes, today was the last chance to take part in the Tokyo Olympics. They are too old, too exha… [+5326 chars]"
17,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Fact-checking fake stories in Africa,We've taken a look into some of the most widely-shared false stories about the pandemic across Africa.,"Image copyrightReuters
As the number of confirmed coronavirus cases across Africa passed the one million mark this week, we've looked into some of the widely shared fake news about the pandemic on t… [+5714 chars]"
18,bbc-news,BBC News,https://www.facebook.com/bbcnews,Hydroxychloroquine: Trump-backed coronavirus 'cure' video pulled,The anti-malaria drug promoted by President Trump as a treatment for Covid-19 is again at the centre of a political storm.,"Image copyrightGetty ImagesImage caption
 President Trump has promoted the use of hydroxychloroquine
The taking down of a viral video by social media companies has reignited a highly-charged contro… [+4735 chars]"
19,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Why is Melbourne seeing more cases?,"The Australian state has reported a record rise this week, suggesting stay-at-home measures may not be working.","Image copyrightEPAImage caption
 Melbourne residents must wear a mask and can only leave their homes for essential reasons
For the first few months of the pandemic, Australia appeared to have succe… [+5053 chars]"
20,bbc-news,BBC News,https://www.facebook.com/bbcnews,US entering 'different' phase of coronavirus outbreak,Top medical adviser Deborah Birx says the virus is affecting rural communities as well as cities.,"Image copyrightReutersImage caption
 America has reported around a quarter of the world's infections
One of President Trump's top medical advisers has warned that the US is entering a new phase in … [+1802 chars]"
21,cnn,CNN,,King: We thought this was troublesome. You see the trend now,"Dr. Anthony Fauci said that instead of focusing on a second wave of coronavirus, the US needs to focus on the alarming increase of coronavirus cases happening now.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
22,cnn,CNN,,Trump promoted a doctor. See what she said about demon babies,CNN's Anderson Cooper discusses President Donald Trump's response to the coronavirus and a video he retweeted featuring a group of doctors making false claims about the coronavirus.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
23,cnn,CNN,"Shelby Lin Erdman, CNN","Birx warns 9 cities, California's central valley about increasing coronavirus cases",The White House coronavirus task force is warning states about an uptick in coronavirus test positivity rates in a number of new cities this week.,
24,cnn,CNN,Paige Levin,Watch the entire CNN coronavirus town hall,CNN's Anderson Cooper and Dr. Sanjay Gupta host a global town hall answering your questions about what the future holds for the fight against Covid-19. Watch the full event below.,
25,cnn,CNN,"Melissa Mahtani, CNN",Dr. Sanjay Gupta answers kids' coronavirus questions,"CNN has received countless questions from parents and children around the country about the deadly coronavirus pandemic. As a father of three, Dr. Sanjay Gupta knows how important it is to talk to your kids about this virus and all the changes it brings. Each…","(CNN)CNN has received countless questions from parents and children around the country about the deadly coronavirus pandemic. As a father of three, Dr. Sanjay Gupta knows how important it is to talk … [+3193 chars]"
26,cnn,CNN,"AJ Willingham, CNN",Here are the most-used coronavirus emojis,"Sometimes the world seems so upside-down, so irrevocably messed up and bizarre, there are hardly words to describe it.","(CNN)Sometimes the world seems so upside-down, so irrevocably messed up and bizarre, there are hardly words to describe it.
Thank goodness we have emojis. 
In honor of World Emoji Day, let's look a… [+1097 chars]"
27,cnn,CNN,,Pelosi calls coronavirus 'the Trump virus',"House Speaker Nancy Pelosi called the coronavirus the ""Trump virus,"" saying if he had acted months ago, more people would have followed his lead and lives could have been saved.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
